dialogue_id,intra_dialogue_id,target,question,answer,question_confidence,question_observed_consistency,question_self_reflection,answer_confidence,answer_observed_consistency,answer_self_reflection,question_time,answer_time
0,0,fox,Is your item a bird?,No.,0.71329,0.59041,1.0,0.93952,0.91361,1.0,24834,9067
0,1,fox,Is your item a mammal?,Yes.,0.62481,0.89259,0.0,0.44414,0.20592,1.0,11964,11636
0,2,fox,Is your item typically kept as a pet?,No.,0.34034,0.48619,0.0,0.99567,0.99381,1.0,16396,13833
0,3,fox,Is your item larger than a dog?,No.,0.26675,0.38107,0.0,0.64375,0.91964,0.0,13251,13491
0,4,fox,Is your item commonly found in forests or woodlands?,Yes.,0.3902,0.55743,0.0,0.54554,0.67221,0.25,19742,14383
0,5,fox,Is your item a fox?,Yes! That's correct.,0.7925,0.70357,1.0,0.99548,0.99355,1.0,15811,14245
1,0,fawn,Is the item you have assigned an animal?,Yes.,0.5076,0.29657,1.0,0.85338,0.79055,1.0,13685,11814
1,1,fawn,Can the animal you have assigned fly?,No.,0.42287,0.17553,1.0,0.54566,0.77952,0.0,13991,11340
1,2,fawn,Does the animal you have assigned have hooves?,Yes.,0.62421,0.46316,1.0,0.38825,0.12608,1.0,12608,11320
1,3,fawn,Is the animal you have assigned a deer?,Yes! That's correct.,0.78592,0.69418,1.0,0.32992,0.25703,0.5,14024,17254
2,0,zebra,Is your item a bird?,No.,0.5765,0.71643,0.25,0.88336,0.83338,1.0,12202,11902
2,1,zebra,Is your item a mammal?,Yes.,0.89284,0.95405,0.75,0.07297,0.10424,0.0,13567,10761
2,2,zebra,Is your item a marine mammal?,No.,0.29197,0.4171,0.0,0.99614,0.99449,1.0,14678,11624
2,3,zebra,Is your item a land mammal?,Yes.,0.90068,0.85812,1.0,0.77802,0.68288,1.0,14649,12974
2,4,zebra,Is your item a carnivore?,Yes.,0.52899,0.64856,0.25,0.50105,0.71579,0.0,13491,11851
2,5,zebra,Is your item a large carnivore?,Yes.,0.54883,0.56976,0.5,0.57417,0.82024,0.0,14228,17392
2,6,zebra,Is your item a bear?,No.,0.84274,0.77534,1.0,0.99562,0.99374,1.0,15567,16742
2,7,zebra,Is your item a walrus?,No.,0.57816,0.82594,0.0,0.79493,0.92133,0.5,16311,20860
2,8,zebra,Is your item an otter?,No.,0.8574,0.79629,1.0,0.69474,0.99248,0.0,18271,19100
2,9,zebra,Is your item a vulture?,No.,0.86354,0.80506,1.0,0.84423,0.99176,0.5,19965,24132
2,10,zebra,Is your item a zebra?,Yes! That's correct.,0.5528,0.78971,0.0,0.96447,0.94924,1.0,17931,12606
3,0,rooster,Is the item you are thinking of a bird?,Yes.,0.77128,0.67325,1.0,0.63285,0.4755,1.0,10327,11344
3,1,rooster,Is the item you are thinking of a peacock?,No.,0.66265,0.51808,1.0,0.61135,0.87335,0.0,16204,11600
3,2,rooster,Is the item you are thinking of a budgie?,No.,0.59541,0.6363,0.5,0.66618,0.95169,0.0,13736,15647
3,3,rooster,Is the item you are thinking of a rooster?,Yes! That's correct.,0.57417,0.82025,0.0,0.91869,0.88385,1.0,16123,11509
4,0,owl,Is the item you have a bird?,Yes.,0.45807,0.65439,0.0,0.41135,0.15908,1.0,11173,13865
4,1,owl,Is the item you have a bird of prey?,Yes.,0.44555,0.6365,0.0,0.76193,0.87419,0.5,15719,11664
4,2,owl,Is the item you have an eagle?,No.,0.53776,0.33966,1.0,0.99592,0.99417,1.0,13692,15006
4,3,owl,Is the item you have a falcon?,No.,0.76421,0.87744,0.5,0.84604,0.99435,0.5,16125,11063
4,4,owl,Is the item you have an owl?,Yes! That's correct.,0.92058,0.99369,0.75,0.99612,0.99446,1.0,18610,10299
5,0,falcon,Is your item a bird?,Yes.,0.50283,0.71832,0.0,0.66029,0.5147,1.0,14649,10188
5,1,falcon,Is your item a parakeet?,No.,0.27597,0.39425,0.0,0.6667,0.95243,0.0,11335,12872
5,2,falcon,Is your item an owl?,No.,0.57956,0.82795,0.0,0.99427,0.99181,1.0,13189,12239
5,3,falcon,Is your item a falcon?,Yes! That's correct.,0.92031,0.99331,0.75,0.76783,0.66834,1.0,15027,14336
6,0,hamster,Is the item you have an animal?,Yes.,0.73808,0.73297,0.75,0.55003,0.35719,1.0,11887,12046
6,1,hamster,Does the animal you have belong to the rodent family?,Yes.,0.44718,0.21026,1.0,0.79583,0.81547,0.75,12947,12913
6,2,hamster,Is the animal you have commonly found in the wild?,No.,0.28859,0.19799,0.5,0.44458,0.63511,0.0,15063,12264
6,3,hamster,Is the animal you have commonly kept as a pet?,Yes.,0.92101,0.88716,1.0,0.72501,0.82144,0.5,14642,11668
6,4,hamster,Is the animal you have small in size?,Yes.,0.38291,0.54702,0.0,0.88678,0.83826,1.0,17353,14558
6,5,hamster,Is the animal you have known for its ability to climb trees?,No.,0.60737,0.54624,0.75,0.88647,0.83782,1.0,20416,21188
6,6,hamster,Is the animal you have known for its cheek pouches?,Yes.,0.82826,0.75465,1.0,0.54833,0.78333,0.0,18225,17199
6,7,hamster,The item you have is a chipmunk.,"No, that's not correct.",0.83257,0.76081,1.0,0.54626,0.78037,0.0,17365,26926
6,8,hamster,I apologize for the mistake. Let me try again. Is the animal you have known for its ability to swim?,No.,0.53208,0.76011,0.0,0.96647,0.9521,1.0,19360,17138
6,9,hamster,I apologize again for the mistake. Let me try one more time. Is the animal you have small and fluffy?,Yes.,0.53681,0.76688,0.0,0.54521,0.77887,0.0,22637,15903
6,10,hamster,The item you have is a hamster.,Yes! That's correct. Well done!,0.57393,0.8199,0.0,0.78115,0.68736,1.0,20383,22273
7,0,dolphin,Is the item something that is worn?,No.,0.2712,0.17315,0.5,0.70649,0.79498,0.5,16467,12608
7,1,dolphin,Is the item a living creature?,Yes.,0.52389,0.53413,0.5,0.57928,0.61325,0.5,13178,10462
7,2,dolphin,Does the creature live in water?,Yes.,0.27786,0.18266,0.5,0.99665,0.99522,1.0,21596,12341
7,3,dolphin,Is the creature a mammal?,Yes.,0.32138,0.45911,0.0,0.65889,0.72698,0.5,15801,13517
7,4,dolphin,Is the creature known for its intelligence?,Yes.,0.30416,0.32737,0.25,0.85707,0.90296,0.75,15810,13386
7,5,dolphin,Is the creature commonly found in oceans or seas?,Yes.,0.62753,0.4679,1.0,0.54719,0.7817,0.0,13839,14969
7,6,dolphin,"Is the creature typically larger in size, like a shark or a whale?",Yes.,0.48149,0.47355,0.5,0.54967,0.78524,0.0,12796,18166
7,7,dolphin,Is the creature a dolphin?,Yes! That's correct.,0.85152,0.78788,1.0,0.99488,0.99268,1.0,16926,19724
8,0,deer,Is your item an animal?,Yes.,0.7023,0.78901,0.5,0.63229,0.4747,1.0,21423,9414
8,1,deer,Is your item a mammal?,Yes.,0.50987,0.72838,0.0,0.93971,0.91388,1.0,16675,11355
8,2,deer,Is your item a herbivore?,Yes.,0.84624,0.99463,0.5,0.88269,0.83242,1.0,11843,10951
8,3,deer,Is your item a fawn?,No.,0.49418,0.49168,0.5,0.71321,0.80459,0.5,16015,11741
8,4,deer,Is your item a deer?,Yes! That's correct.,0.99588,0.99412,1.0,0.92828,0.89754,1.0,14242,12360
9,0,boots,Is the item an animal?,No.,0.37116,0.31594,0.5,0.85486,0.79266,1.0,14502,9036
9,1,boots,Is the item a clothing accessory?,Yes.,0.77723,0.68175,1.0,0.15892,0.11989,0.25,13905,9984
9,2,boots,Is the item worn on the lower body?,Yes.,0.31371,0.23387,0.5,0.61821,0.77601,0.25,15537,13864
9,3,boots,Is the item typically worn on the legs?,Yes.,0.75591,0.6513,1.0,0.8456,0.99371,0.5,12057,11789
9,4,boots,Is the item typically made of fabric?,Yes.,0.65509,0.61441,0.75,0.41532,0.59332,0.0,19565,15998
9,5,boots,Is the item typically worn by males and females?,Yes.,0.67782,0.53974,1.0,0.77248,0.78211,0.75,12595,21890
9,6,boots,Is the item typically worn in warm weather?,No.,0.43889,0.62699,0.0,0.49884,0.71263,0.0,15941,14669
9,7,boots,Is the item typically worn as a protective covering?,Yes.,0.67706,0.75295,0.5,0.84853,0.78362,1.0,14562,19862
9,8,boots,Is the item typically worn outdoors?,Yes.,0.83447,0.76352,1.0,0.844,0.77714,1.0,13661,19417
9,9,boots,Is the item typically worn to protect against rain or snow?,Yes.,0.50168,0.71669,0.0,0.69715,0.78164,0.5,16885,17171
9,10,boots,Is the item a cape?,No.,0.8197,0.74243,1.0,0.99428,0.99183,1.0,18199,15845
9,11,boots,Is the item a pair of trousers?,No.,0.84968,0.78525,1.0,0.91097,0.87281,1.0,18289,21783
9,12,boots,Is the item a pair of boots?,Yes! That's correct.,0.69326,0.77609,0.5,0.98503,0.97861,1.0,21565,24609
10,0,tie,Is the item you have an animal?,No.,0.63028,0.47183,1.0,0.85604,0.79435,1.0,19465,10667
10,1,tie,Is the item you have an accessory?,Yes.,0.44187,0.63125,0.0,0.34869,0.49813,0.0,12753,12676
10,2,tie,Is the item you have worn around the neck?,Yes.,0.43465,0.62093,0.0,0.49621,0.70887,0.0,12777,11874
10,3,tie,Is the item you have typically made of fabric?,Yes.,0.57418,0.39168,1.0,0.60245,0.86065,0.0,13269,13733
10,4,tie,Is the item you have typically long and narrow in shape?,Yes.,0.51522,0.30745,1.0,0.60203,0.86005,0.0,11748,16044
10,5,tie,Is the item you have typically worn for warmth?,Yes.,0.51709,0.31013,1.0,0.80962,0.72802,1.0,17041,15029
10,6,tie,Is the item you have worn mainly during colder seasons?,Yes.,0.39564,0.5652,0.0,0.79322,0.70459,1.0,13728,16307
10,7,tie,Is the item you have typically made of wool?,Yes.,0.32757,0.46796,0.0,0.42973,0.6139,0.0,14229,20575
10,8,tie,Is the item you have commonly used to cover the neck and shoulders?,Yes.,0.78738,0.69625,1.0,0.8057,0.72242,1.0,21422,28017
10,9,tie,Is the item you have typically patterned or plain in design?,It can be both patterned and plain.,0.48291,0.68987,0.0,0.83217,0.76024,1.0,15967,21478
10,10,tie,Is the item you have commonly worn by both men and women?,Yes.,0.64235,0.70335,0.5,0.68856,0.66223,0.75,15125,21868
10,11,tie,Is the item you have commonly seen in various colors?,Yes.,0.75889,0.65556,1.0,0.81751,0.7393,1.0,22385,22612
10,12,tie,Is the item you have a scarf?,No.,0.82346,0.74779,1.0,0.34874,0.4982,0.0,20543,20467
10,13,tie,"My apologies for the misunderstanding. Based on the given information, the item you have is a tie.",Yes! That's correct. Well done! The item assigned to me is indeed a tie.,0.66661,0.73801,0.5,0.82496,0.74994,1.0,23200,33618
11,0,belt,Is the item an animal?,No.,0.40877,0.58396,0.0,0.55504,0.79292,0.0,19446,9789
11,1,belt,Is the item a piece of clothing?,Yes.,0.81333,0.73332,1.0,0.47013,0.24305,1.0,12926,11600
11,2,belt,Is the item typically worn on the upper body?,No.,0.65396,0.71995,0.5,0.72927,0.82753,0.5,9445,11595
11,3,belt,Is the item typically worn on the lower body?,Yes.,0.95476,0.93537,1.0,0.60182,0.85974,0.0,14623,12397
11,4,belt,Is the item typically worn by men?,No.,0.54949,0.67784,0.25,0.62943,0.89918,0.0,15518,16193
11,5,belt,Is the item typically worn by women?,Yes.,0.91772,0.88245,1.0,0.84909,0.78441,1.0,16229,16920
11,6,belt,Is the item typically worn as sleepwear?,No.,0.51775,0.6325,0.25,0.74596,0.85137,0.5,15502,15622
11,7,belt,Is the item typically worn as formal attire?,No.,0.62735,0.78908,0.25,0.91122,0.87317,1.0,16676,16409
11,8,belt,Is the item typically worn as casual attire?,Yes.,0.53063,0.75804,0.0,0.62574,0.78677,0.25,14834,18672
11,9,belt,Is the item a belt?,Yes! That's correct.,0.83667,0.76666,1.0,0.92027,0.99324,0.75,14847,20546
12,0,seal,Is your item a living organism?,Yes.,0.60705,0.43864,1.0,0.52134,0.31619,1.0,17290,11551
12,1,seal,Is your item a mammal?,Yes.,0.70537,0.57909,1.0,0.87572,0.82246,1.0,11276,13177
12,2,seal,Is your item a domesticated animal?,No.,0.22023,0.31462,0.0,0.7216,0.60228,1.0,19026,17705
12,3,seal,Is your item a small animal?,No.,0.45417,0.64881,0.0,0.99612,0.99446,1.0,12658,13653
12,4,seal,Does your item have antlers?,No.,0.40599,0.57998,0.0,0.99617,0.99453,1.0,14087,15907
12,5,seal,Is your item a seal?,Yes! That's correct.,0.52616,0.75165,0.0,0.91101,0.87287,1.0,14614,16581
13,0,bear,Is the item you have in mind an animal?,Yes.,0.65975,0.51392,1.0,0.6323,0.47471,1.0,15936,9723
13,1,bear,Does the animal you have in mind have stripes?,No.,0.2318,0.11686,0.5,0.69641,0.99488,0.0,16692,11160
13,2,bear,Is the animal you have in mind a mammal?,Yes.,0.86307,0.80439,1.0,0.85471,0.79244,1.0,12205,14244
13,3,bear,Is the mammal you have in mind commonly found in the wild?,Yes.,0.31603,0.45146,0.0,0.96199,0.9457,1.0,14491,19056
13,4,bear,Is the mammal you have in mind larger than a human?,Yes.,0.40686,0.36695,0.5,0.87737,0.82482,1.0,13661,18935
13,5,bear,Is the mammal you have in mind a herbivore?,No.,0.4938,0.49115,0.5,0.96611,0.95158,1.0,16294,16944
13,6,bear,Is the mammal you have in mind a predator?,Yes.,0.73113,0.61589,1.0,0.84365,0.77664,1.0,15342,16152
13,7,bear,Is the mammal you have in mind known for its agility and climbing skills?,No.,0.49839,0.71198,0.0,0.58476,0.83537,0.0,15965,16738
13,8,bear,Is the mammal you have in mind known for its strength and power?,Yes.,0.63802,0.69717,0.5,0.85155,0.78792,1.0,17576,24428
13,9,bear,Is the mammal you have in mind a bear?,Yes! That's correct.,0.82532,0.75046,1.0,0.99468,0.9924,1.0,19020,16619
14,0,seal,Is the item you have in mind an animal?,Yes.,0.74836,0.64051,1.0,0.41127,0.15896,1.0,14257,13695
14,1,seal,Does the animal you have in mind live in the water?,Yes.,0.44858,0.21226,1.0,0.78902,0.6986,1.0,14362,13127
14,2,seal,Is the animal you have in mind a marine mammal?,Yes.,0.41949,0.59927,0.0,0.90586,0.86552,1.0,20572,13719
14,3,seal,Is the animal you have in mind a walrus?,No.,0.52731,0.64616,0.25,0.69617,0.99453,0.0,19023,14160
14,4,seal,Is the animal you have in mind a seal?,Yes! That's correct.,0.76957,0.8851,0.5,0.95622,0.93745,1.0,19178,15039
15,0,missile,Is the item alive?,No.,0.4817,0.47385,0.5,0.85577,0.79396,1.0,33707,10639
15,1,missile,Does the item explode?,Yes.,0.21406,0.3058,0.0,0.15785,0.2255,0.0,12611,11584
15,2,missile,Is the item smaller than a breadbox?,No.,0.12772,0.18246,0.0,0.73509,0.83584,0.5,13469,12120
15,3,missile,Is the item used as a weapon?,Yes.,0.71986,0.59981,1.0,0.9653,0.95042,1.0,13818,13300
15,4,missile,Is the item typically used by the military?,Yes.,0.20386,0.29123,0.0,0.76372,0.76961,0.75,17552,13024
15,5,missile,Is the item a missile?,Yes! That's correct.,0.81016,0.7288,1.0,0.99615,0.99449,1.0,17333,12373
16,0,spear,Is the item an animal?,No.,0.61031,0.65759,0.5,0.88309,0.83298,1.0,27507,10334
16,1,spear,Is the item a weapon?,Yes.,0.7973,0.71042,1.0,0.13098,0.18711,0.0,13085,11259
16,2,spear,Is the item handheld?,Yes.,0.29074,0.20106,0.5,0.87072,0.81532,1.0,14554,12062
16,3,spear,Is the item commonly used in close combat?,Yes.,0.43106,0.40151,0.5,0.9022,0.86028,1.0,12282,13918
16,4,spear,Is the item a dagger?,No.,0.75784,0.65406,1.0,0.96509,0.95013,1.0,13478,14802
16,5,spear,Is the item a sword?,No.,0.65919,0.72741,0.5,0.84572,0.99388,0.5,15613,12497
16,6,spear,Is the item a spear?,Yes! That's correct.,0.65321,0.93315,0.0,0.99614,0.99449,1.0,13187,16505
17,0,stick,Is the item alive?,No.,0.52279,0.53256,0.5,0.88384,0.83406,1.0,14906,10327
17,1,stick,Is the item used for hunting?,Yes.,0.26543,0.1649,0.5,0.0252,0.036,0.0,11729,11556
17,2,stick,Is the item made of wood?,Yes.,0.41607,0.3801,0.5,0.34104,0.27291,0.5,10459,12159
17,3,stick,Is the item long and narrow?,Yes.,0.28602,0.4086,0.0,0.57413,0.82019,0.0,15245,20323
17,4,stick,Is the item a harpoon?,No.,0.83134,0.75906,1.0,0.69625,0.99464,0.0,17615,11402
17,5,stick,Is the item a whip?,No.,0.67825,0.75465,0.5,0.55653,0.79504,0.0,19000,14070
17,6,stick,Is the item a stick?,Yes! That's correct.,0.96611,0.95159,1.0,0.99619,0.99456,1.0,15671,16395
18,0,caribou,Is the item an animal?,Yes.,0.29345,0.41922,0.0,0.63208,0.47439,1.0,9927,10494
18,1,caribou,Is the item a mammal?,Yes.,0.30554,0.43649,0.0,0.87371,0.81958,1.0,12226,11201
18,2,caribou,Is the item smaller than a human?,No.,0.37821,0.11173,1.0,0.21409,0.30584,0.0,13034,13504
18,3,caribou,Is the item typically found in the wild?,Yes.,0.41826,0.38323,0.5,0.62532,0.67903,0.5,16322,13862
18,4,caribou,Is the item larger than a car?,Yes.,0.32725,0.46751,0.0,0.702,0.78858,0.5,14635,13735
18,5,caribou,Is the item a herbivore?,Yes.,0.36323,0.41175,0.25,0.89469,0.84955,1.0,23083,17599
18,6,caribou,Is the item an elephant?,No.,0.77564,0.67949,1.0,0.69579,0.99398,0.0,14773,16008
18,7,caribou,Is the item a caribou?,Yes! That's correct.,0.9664,0.95201,1.0,0.99575,0.99393,1.0,21686,19703
19,0,zebra,Is the item you have chosen an animal?,Yes.,0.40563,0.15089,1.0,0.48202,0.47431,0.5,13519,10287
19,1,zebra,Does the animal you have chosen live in the water?,No.,0.18804,0.26863,0.0,0.61092,0.7656,0.25,16884,15219
19,2,zebra,Is the animal you have chosen a mammal?,Yes.,0.44071,0.62959,0.0,0.85506,0.79295,1.0,12646,18784
19,3,zebra,Is the mammal you have chosen a herbivore?,No.,0.33275,0.47535,0.0,0.92093,0.99419,0.75,17867,14791
19,4,zebra,Is the mammal you have chosen a large land-dwelling animal?,Yes.,0.45837,0.65482,0.0,0.6943,0.77758,0.5,20120,17404
19,5,zebra,Is the mammal you have chosen a member of the horse family?,No.,0.24966,0.35666,0.0,0.62658,0.89512,0.0,17645,13771
19,6,zebra,Is the mammal you have chosen known for having distinctive black and white stripes?,Yes! That's correct.,0.32427,0.46324,0.0,0.8448,0.99257,0.5,18915,18333
20,0,cow,Is the item you have an animal?,Yes.,0.44404,0.20577,1.0,0.52198,0.31712,1.0,16861,10712
20,1,cow,Does the animal you have live in water?,No.,0.03943,0.05633,0.0,0.86556,0.80794,1.0,15914,12954
20,2,cow,Is the animal you have commonly found in forests?,No.,0.34848,0.28355,0.5,0.66795,0.95421,0.0,14000,14821
20,3,cow,Is the animal you have typically found on farms?,Yes.,0.45015,0.64307,0.0,0.52391,0.74844,0.0,17934,15548
20,4,cow,Is the animal you have larger than a human?,Yes.,0.30489,0.43556,0.0,0.96615,0.95165,1.0,17854,12759
20,5,cow,Does the animal you have four legs?,Yes.,0.38559,0.55084,0.0,0.70403,0.89861,0.25,16302,13565
20,6,cow,Is the animal you have typically used for milk or meat production?,Yes.,0.60949,0.65642,0.5,0.84213,0.77446,1.0,18562,23548
20,7,cow,Is the animal you have a cow?,Yes! That's correct.,0.85114,0.78735,1.0,0.99484,0.99263,1.0,15556,17976
21,0,avocado,Is the item you have in mind an animal?,No.,0.43814,0.19734,1.0,0.55535,0.79336,0.0,15620,13536
21,1,avocado,Is the item you have in mind a fruit?,Yes.,0.69577,0.99395,0.0,0.40381,0.1483,1.0,11346,11190
21,2,avocado,Is the item you have in mind a citrus fruit?,No.,0.40168,0.57383,0.0,0.69581,0.99401,0.0,11944,12965
21,3,avocado,Is the item you have in mind a tropical fruit?,Yes.,0.68695,0.55279,1.0,0.48764,0.69663,0.0,13966,15692
21,4,avocado,Is the item you have in mind a pineapple?,No.,0.50917,0.62024,0.25,0.93958,0.91369,1.0,18888,16582
21,5,avocado,Is the item you have in mind a tangerine?,No.,0.8378,0.76828,1.0,0.66712,0.95303,0.0,13977,14553
21,6,avocado,Is the item you have in mind an avocado?,Yes! That's correct.,0.63695,0.69564,0.5,0.9294,0.89915,1.0,16176,19771
22,0,cherry,Is the item you have an animal?,No.,0.63092,0.47274,1.0,0.70555,0.79364,0.5,8727,12092
22,1,cherry,Is the item you have a fruit?,Yes.,0.59293,0.84705,0.0,0.32399,0.35569,0.25,9767,10397
