dialogue_id,intra_dialogue_id,entropy,cross_entropy
0,0,1.921,1.204
0,1,2.0,1.3863
0,2,1.5849,1.0987
0,3,1.5849,1.1498
0,4,1.4834,0.8997
0,5,1.1489,0.1924
1,0,2.9965,2.051
1,1,2.124,1.2612
1,2,1.4834,2.0152
1,3,1.2988,2.9957
2,0,1.9938,36.0437
2,1,1.5849,2.3026
2,2,1.0,36.0437
2,3,1.0,36.0437
2,4,1.0,36.0437
2,5,0.6501,3.4022
2,6,0.0,36.0437
2,7,0.0,36.0437
2,8,0.0,1.4917
2,9,0.0,1.6094
2,10,0.0,0.0
3,0,2.0,1.3863
3,1,1.5849,1.7093
3,2,1.0,0.8363
3,3,-0.0,0.0
4,0,2.0,1.3863
4,1,1.5849,1.0987
4,2,1.0,0.6931
4,3,-0.0,0.0
4,4,-0.0,0.0
5,0,2.0,1.3863
5,1,1.5849,1.0987
5,2,1.0,0.6931
5,3,-0.0,0.0
6,0,2.0,1.3863
6,1,1.0,0.6931
6,2,0.9544,0.4054
6,3,0.9544,0.3567
6,4,1.0,0.6931
6,5,0.8631,0.2231
6,6,1.0,0.6931
6,7,-0.0,0.0
6,8,-0.0,0.0
6,9,-0.0,0.3567
6,10,-0.0,0.6931
7,0,2.0,1.3863
7,1,1.9709,1.2612
7,2,1.0,0.6931
7,3,0.9911,0.5108
7,4,0.6501,0.1054
7,5,-0.0,0.0
7,6,-0.0,0.0
7,7,-0.0,0.0
8,0,2.0,1.3863
8,1,2.0,1.3863
8,2,1.0,0.6931
8,3,-0.0,0.5679
8,4,-0.0,0.5978
9,0,2.0,1.3863
9,1,2.0,1.3863
9,2,0.9911,0.9163
9,3,1.0,0.6931
9,4,0.9911,1.0498
9,5,1.0,0.6931
9,6,1.0,0.6931
9,7,0.9911,0.9163
9,8,1.0,0.6931
9,9,1.0,0.6931
9,10,0.9544,1.204
9,11,0.8631,0.2231
9,12,-0.0,0.0
10,0,2.1809,1.4271
10,1,2.0,1.3863
10,2,1.361,0.6931
10,3,0.9911,1.0987
10,4,0.9911,0.9163
10,5,0.8631,1.6094
10,6,0.6501,2.3026
10,7,-0.0,36.0437
10,8,-0.0,36.0437
10,9,-0.0,2.7076
10,10,-0.0,36.0437
10,11,-0.0,36.0437
10,12,-0.0,0.3567
10,13,-0.0,0.3567
11,0,2.0,1.3863
11,1,2.0,1.3863
11,2,1.4834,0.8363
11,3,1.0,0.6931
11,4,0.9911,1.3216
11,5,1.0,1.0032
11,6,-0.0,0.5108
11,7,-0.0,0.9163
11,8,-0.0,1.6094
11,9,-0.0,0.3567
12,0,2.0,1.3863
12,1,1.9709,1.8971
12,2,1.8632,2.3026
12,3,1.8842,1.204
12,4,1.4949,1.7916
12,5,1.5849,0.7621
13,0,2.2577,1.4697
13,1,2.3166,1.6681
13,2,1.5305,0.9163
13,3,1.2517,2.3026
13,4,0.7219,1.6094
13,5,0.9544,1.8971
13,6,0.9183,1.204
13,7,0.8631,0.2231
13,8,-0.0,0.0
13,9,-0.0,0.0
14,0,2.0,1.3863
14,1,1.0,0.6931
14,2,1.0,0.6931
14,3,-0.0,0.0
14,4,-0.0,0.0
15,0,2.0,1.3863
15,1,1.0,0.6931
15,2,1.0,0.6931
15,3,0.9911,0.5679
15,4,1.0,0.6931
15,5,0.9911,0.5108
16,0,2.0,1.3863
16,1,2.0,1.3863
16,2,1.9938,1.6094
16,3,1.3486,0.7621
16,4,0.8113,0.7621
16,5,1.0,1.204
16,6,0.7219,0.2231
17,0,3.0,2.0794
17,1,2.0,1.3863
17,2,1.9238,1.0987
17,3,1.5849,1.0987
17,4,0.9544,0.5108
17,5,-0.0,0.3567
17,6,-0.0,0.1054
18,0,1.0,0.6931
18,1,1.0,0.7985
18,2,0.9911,0.5978
18,3,1.0,1.0032
18,4,0.9911,0.9163
18,5,1.0,0.6931
18,6,0.6501,0.2657
18,7,1.0,1.204
19,0,1.8232,1.1498
19,1,1.5849,1.1498
19,2,1.0,36.0437
19,3,0.971,1.6094
19,4,-0.0,0.6931
19,5,-0.0,0.6931
19,6,0.0,0.0
20,0,1.5849,1.0987
20,1,1.4834,1.2972
20,2,-0.0,0.0
20,3,-0.0,0.0
20,4,-0.0,0.1054
20,5,-0.0,0.3567
20,6,-0.0,0.0
20,7,-0.0,0.0
21,0,2.0,1.3863
21,1,2.0,1.3863
21,2,1.9938,1.3216
21,3,-0.0,36.0437
21,4,0.0,1.1498
21,5,0.0,1.3471
21,6,0.0,0.1625
22,0,2.0,1.3863
22,1,2.0,1.3863
22,2,1.921,1.204
22,3,0.9852,0.9163
22,4,-0.0,0.0
22,5,-0.0,0.0
22,6,-0.0,0.1054
23,0,2.0,1.3863
23,1,2.0,1.3863
23,2,1.8091,1.6966
23,3,1.4834,2.0152
23,4,1.5849,1.0987
23,5,1.3486,2.7076
23,6,1.0,0.6931
23,7,0.9911,0.9163
23,8,-0.0,0.6931
23,9,-0.0,1.0987
23,10,-0.0,0.8754
24,0,1.5849,36.0437
24,1,1.4834,1.6966
24,2,1.0,2.0152
24,3,0.8631,1.7916
24,4,0.9183,0.2877
24,5,1.0,0.9163
24,6,0.9911,2.1481
24,7,-0.0,0.2231
24,8,-0.0,0.2231
24,9,0.0,0.0
25,0,1.5849,1.0987
25,1,1.5849,1.0987
25,2,1.3486,0.8557
25,3,0.9852,0.9163
25,4,1.0,0.6931
25,5,-0.0,0.0
25,6,-0.0,0.5978
25,7,-0.0,0.4308
25,8,-0.0,0.0
26,0,2.0,1.3863
26,1,1.0,0.6931
26,2,0.9544,0.8363
26,3,-0.0,0.0
26,4,-0.0,0.0
26,5,-0.0,0.2231
26,6,-0.0,0.0
26,7,-0.0,0.3216
27,0,2.0,1.3863
27,1,2.0,1.3863
27,2,2.0,1.3863
27,3,0.9911,36.0437
27,4,0.9544,1.6966
27,5,0.9544,0.9589
27,6,0.6501,0.9163
27,7,0.9183,0.3567
27,8,-0.0,0.9163
27,9,-0.0,1.204
27,10,0.0,0.3567
27,11,0.0,0.0
28,0,2.8037,1.9132
28,1,2.0,1.3863
28,2,1.6647,1.7148
28,3,1.3516,0.6287
28,4,1.5395,0.5391
29,0,2.0,1.3863
29,1,1.0,0.6931
29,2,0.6501,0.1625
30,0,2.0,1.3863
30,1,2.0,1.3863
30,2,1.1489,0.1431
30,3,1.1489,0.1625
31,0,2.0,1.3863
31,1,1.8232,1.1498
31,2,1.5849,1.0987
31,3,1.0,0.6931
31,4,-0.0,0.0
32,0,2.0,1.3863
32,1,1.0,0.6931
32,2,1.0,1.204
32,3,1.0,0.7985
32,4,0.8631,0.2231
32,5,-0.0,0.0
33,0,2.0,1.3863
33,1,2.0,1.3863
33,2,1.4834,0.8363
33,3,0.6501,0.1054
33,4,0.8631,0.2231
33,5,0.9911,0.5108
33,6,0.6501,0.1054
33,7,0.971,0.5108
34,0,2.0,1.3863
34,1,1.0,0.6931
34,2,1.0,0.6931
34,3,0.8631,0.2231
34,4,0.9544,0.3567
34,5,0.6501,0.1054
34,6,-0.0,0.0
34,7,-0.0,0.0
34,8,-0.0,0.6931
35,0,2.0,1.3863
35,1,2.0,1.3863
35,2,1.9544,1.0498
35,3,1.2517,0.3567
35,4,1.5774,1.3536
35,5,0.6501,0.1431
35,6,0.9911,0.7802
35,7,0.6501,0.1431
35,8,-0.0,0.0
35,9,-0.0,0.0
35,10,-0.0,0.0
36,0,2.0,1.3863
36,1,2.0,1.3863
36,2,1.6855,0.4308
36,3,-0.0,0.0
37,0,2.0,1.3863
37,1,2.0,1.3863
37,2,2.0,1.3863
37,3,1.2988,1.7916
37,4,1.3789,0.5108
37,5,-0.0,0.1054
37,6,-0.0,0.1054
38,0,2.0,1.3863
38,1,1.5849,1.9132
38,2,1.3486,1.328
38,3,1.4355,1.1498
38,4,-0.0,0.0
39,0,2.0,1.3863
39,1,2.0,1.3863
39,2,1.9899,1.5292
39,3,2.0,3.4022
39,4,1.761,2.1481
39,5,1.921,1.204
39,6,1.9911,1.204
39,7,-0.0,0.0
40,0,2.0,1.3863
40,1,1.5849,1.0987
40,2,1.3486,0.7621
40,3,1.3486,0.7621
40,4,1.3486,1.0032
40,5,1.5849,1.0987
40,6,1.0,0.6931
40,7,0.9911,0.9163
41,0,2.0,1.3863
41,1,0.8631,0.2231
41,2,1.0,0.9163
42,0,1.6499,2.9957
42,1,2.0,1.3863
42,2,1.6499,0.7985
42,3,1.0,0.6931
42,4,-0.0,0.0
43,0,2.0,1.3863
43,1,2.0,1.3863
43,2,1.9911,1.204
43,3,0.6501,2.3026
43,4,0.7219,0.9163
43,5,-0.0,36.0437
43,6,-0.0,1.8971
43,7,-0.0,2.0794
43,8,-0.0,0.1924
43,9,0.0,0.0
44,0,2.0,1.3863
44,1,2.0,1.4917
44,2,1.5849,1.0987
44,3,1.5774,1.5292
44,4,0.9911,1.204
44,5,-0.0,1.0987
44,6,-0.0,0.0
45,0,2.0,1.3863
45,1,2.0,1.3863
45,2,1.361,0.6931
45,3,0.6501,0.1054
45,4,-0.0,0.0
45,5,-0.0,0.1625
45,6,-0.0,0.7985
45,7,-0.0,0.7985
45,8,-0.0,1.4917
45,9,0.0,36.0437
45,10,0.0,36.0437
45,11,0.0,1.6094
45,12,0.0,2.9957
45,13,0.0,36.0437
45,14,0.0,1.6094
45,15,0.0,0.7985
45,16,0.0,0.0
46,0,2.0,1.3863
46,1,1.9329,1.3863
46,2,1.8262,0.9163
46,3,1.95,1.5292
46,4,1.9899,1.204
46,5,1.5305,1.204
46,6,1.5219,1.4917
47,0,1.4834,0.8363
47,1,1.5766,1.6094
47,2,1.3486,0.8363
47,3,1.0,1.0032
47,4,-0.0,0.7621
47,5,-0.0,0.5108
47,6,-0.0,0.3567
48,0,2.2577,1.4697
48,1,2.0,1.3863
48,2,2.0,1.3863
48,3,1.5849,1.0987
48,4,1.4855,0.4568
48,5,-0.0,0.0
49,0,1.7841,1.0498
49,1,2.0,1.3863
49,2,1.9709,1.3641
49,3,-0.0,0.0
50,0,2.0,1.3863
50,1,2.0,1.3863
50,2,1.9911,1.204
50,3,1.6499,0.7985
50,4,1.5486,0.9163
50,5,1.4056,0.6931
50,6,1.1489,0.1924
51,0,1.9938,1.3216
51,1,2.0,1.3863
51,2,1.8262,2.9957
51,3,1.9938,1.6094
51,4,1.9086,1.0032
51,5,0.9852,0.5108
51,6,-0.0,0.0
52,0,1.9938,1.3216
52,1,1.9928,1.6094
52,2,1.9899,1.3863
52,3,1.9928,0.9163
52,4,1.4855,1.204
52,5,1.2517,0.2231
53,0,2.0,1.3863
53,1,2.0,1.3863
53,2,1.0,0.6931
53,3,-0.0,0.0
53,4,-0.0,0.0
54,0,2.0,1.3863
54,1,1.0,0.6931
54,2,0.971,0.9163
54,3,-0.0,0.7621
54,4,-0.0,2.1481
54,5,-0.0,1.204
54,6,-0.0,0.2231
54,7,-0.0,1.204
54,8,-0.0,0.6931
54,9,-0.0,1.7916
54,10,-0.0,0.8754
54,11,-0.0,0.5108
54,12,-0.0,0.3567
55,0,1.5849,1.0987
55,1,1.4834,2.0152
55,2,-0.0,0.2231
55,3,-0.0,0.2231
55,4,-0.0,0.5108
55,5,-0.0,0.2231
55,6,-0.0,0.6931
55,7,-0.0,1.204
55,8,-0.0,2.3026
55,9,-0.0,0.6931
55,10,-0.0,0.2231
55,11,-0.0,0.3808
56,0,2.7893,1.8812
56,1,2.0,1.3863
56,2,1.8262,1.5292
56,3,1.8249,0.5391
56,4,-0.0,0.0
56,5,-0.0,0.0
57,0,2.0,1.3863
57,1,1.9709,1.2612
57,2,1.3486,0.7621
57,3,1.5219,1.0032
57,4,1.5849,1.0987
57,5,1.4949,0.6287
57,6,0.9911,0.5108
57,7,-0.0,0.0
57,8,-0.0,0.3011
57,9,-0.0,0.0
57,10,-0.0,0.3567
58,0,2.0,1.3863
58,1,2.0,1.3863
58,2,1.5486,1.6094
58,3,1.3486,2.7076
58,4,0.9911,0.9163
58,5,-0.0,0.6931
58,6,-0.0,0.0
59,0,2.0,36.0437
59,1,0.0,1.0987
59,2,0.0,1.0498
59,3,0.0,1.0987
60,0,2.0,1.3863
60,1,1.4834,2.0152
60,2,1.4834,0.9163
60,3,1.5486,1.0032
60,4,1.5486,1.0032
60,5,-0.0,0.0
60,6,-0.0,0.0
61,0,2.0,1.3863
61,1,1.0,0.6931
61,2,0.9544,1.204
61,3,1.0,1.0032
61,4,1.0,1.204
61,5,0.9183,2.0152
61,6,0.8631,2.0152
61,7,0.9183,1.7916
61,8,0.9183,1.7916
61,9,1.0,1.0987
61,10,0.9911,1.1498
61,11,1.0,1.1767
61,12,1.0,0.8363
61,13,1.0,0.9163
61,14,0.9911,0.6931
61,15,0.9544,1.6094
62,0,2.0,1.3863
62,1,1.5488,0.6349
62,2,2.0,1.8971
62,3,1.5849,2.9957
62,4,1.2517,0.4308
62,5,-0.0,1.6094
62,6,-0.0,0.0
62,7,-0.0,0.0
62,8,-0.0,0.0
63,0,2.0,1.3863
63,1,1.5849,1.0987
63,2,1.4834,2.0152
63,3,1.5766,1.4758
63,4,1.0,0.6931
63,5,0.9852,1.0498
63,6,0.6501,0.47
64,0,2.0,1.3863
64,1,1.9238,1.0987
64,2,1.5849,1.0987
64,3,1.3486,0.7621
64,4,0.6501,0.1431
64,5,-0.0,0.0
65,0,2.0,1.3863
65,1,1.5849,1.0987
65,2,1.5486,0.9163
65,3,0.6501,36.0437
65,4,0.9852,1.7916
65,5,0.9544,2.0152
65,6,-0.0,36.0437
65,7,-0.0,1.6094
65,8,-0.0,1.6094
65,9,-0.0,1.3863
65,10,0.0,0.0
66,0,1.0,0.6931
66,1,-0.0,0.0
66,2,-0.0,0.0
67,0,2.971,2.3026
67,1,2.0,1.3863
67,2,1.9329,1.1023
67,3,1.5546,0.6931
67,4,0.6501,0.1054
67,5,1.0,1.9711
68,0,2.0,1.3863
68,1,0.8631,2.7076
68,2,-0.0,36.0437
68,3,-0.0,1.0032
68,4,-0.0,0.9163
68,5,0.0,0.9163
68,6,0.0,0.1054
68,7,0.0,0.9163
68,8,0.0,0.0
69,0,2.0,1.3863
69,1,2.0,1.3863
69,2,1.5774,1.0032
69,3,0.9911,0.5108
69,4,0.8631,0.2657
69,5,-0.0,0.6931
69,6,-0.0,0.3102
70,0,2.0,1.3863
70,1,2.0,1.3863
70,2,1.5486,0.9163
70,3,1.3486,0.7621
70,4,1.5546,1.4554
70,5,1.4834,0.8363
70,6,1.5774,1.4201
71,0,2.0,1.3863
71,1,2.0,1.3863
71,2,2.0,1.3863
71,3,1.6499,0.7985
71,4,1.9928,1.6094
72,0,2.1809,1.4271
72,1,2.0,1.3863
72,2,1.0,0.6931
72,3,1.0,0.6931
72,4,0.9911,0.5679
72,5,-0.0,0.887
72,6,-0.0,0.0
73,0,2.0,1.3863
73,1,2.0,1.3863
73,2,1.9938,1.3216
73,3,1.5766,0.7621
73,4,-0.0,0.0
73,5,-0.0,0.1431
73,6,-0.0,0.1054
74,0,2.0,1.3863
74,1,2.0,1.3863
74,2,2.0,1.3863
74,3,1.9709,1.2612
74,4,2.0,1.4271
74,5,1.9086,1.0032
74,6,1.9852,1.5292
74,7,1.361,2.7076
74,8,-0.0,0.0
76,0,2.0,36.0437
76,1,1.9714,3.2189
76,2,1.6767,36.0437
76,3,1.4489,1.6094
76,4,0.0,0.5978
76,5,0.0,0.6931
76,6,0.0,0.9163
76,7,0.0,0.2231
76,8,0.0,0.5978
77,0,2.0,1.3863
77,1,2.0,1.3863
77,2,1.4834,0.8363
77,3,1.5849,1.204
78,0,2.0,1.3863
78,1,2.0,1.3863
78,2,1.5849,1.0987
78,3,0.8631,0.2231
78,4,0.6501,0.1054
79,0,2.5047,1.4758
79,1,2.0,1.3863
79,2,0.9911,0.5108
79,3,0.9544,0.3567
79,4,0.6501,0.1431
80,0,3.0,2.0794
80,1,2.0,1.3863
80,2,1.9772,1.3863
80,3,1.5488,0.1625
80,4,-0.0,0.0
80,5,-0.0,0.0
80,6,-0.0,0.0
81,0,2.0,1.3863
81,1,1.9709,1.2612
81,2,1.9938,1.3216
81,3,1.4834,2.0152
81,4,0.8631,1.6094
81,5,-0.0,0.1054
81,6,-0.0,1.3216
82,0,2.0,1.3863
82,1,2.0,1.3863
82,2,1.8632,0.9163
82,3,1.9656,1.8971
82,4,1.5774,1.0032
82,5,1.0,0.6931
82,6,0.6501,0.1625
83,0,2.0,1.3863
83,1,2.0,1.3863
83,2,1.6499,0.8363
83,3,1.5488,0.2657
83,4,1.6577,0.2877
83,5,1.5488,0.1625
83,6,-0.0,0.0
84,0,1.5849,1.0987
84,1,1.0,0.6931
84,2,1.0,0.7621
84,3,0.6501,0.1054
84,4,0.9544,0.3567
84,5,1.0,0.6931
85,0,2.0,1.3863
85,1,1.9238,1.0987
85,2,1.9938,1.3216
85,3,1.9911,1.204
85,4,1.9714,1.204
85,5,1.5486,0.9163
85,6,-0.0,0.0
86,0,2.0,1.3863
86,1,1.6855,0.758
86,2,2.0,1.3863
86,3,1.8425,1.204
86,4,0.8631,0.2231
86,5,-0.0,2.3026
86,6,-0.0,0.7985
86,7,-0.0,0.0
86,8,-0.0,0.0
87,0,1.9709,1.2612
87,1,1.8249,1.4554
87,2,-0.0,1.204
87,3,-0.0,0.8472
87,4,-0.0,0.6375
88,0,1.921,1.204
88,1,2.0,1.3863
88,2,1.7604,2.1481
88,3,1.888,2.3026
88,4,1.8262,2.9957
88,5,1.3789,1.9661
88,6,0.8631,36.0437
88,7,0.6501,2.0794
88,8,0.9183,1.0309
89,0,1.5849,1.0987
89,1,0.8631,1.8971
89,2,0.9544,1.5292
89,3,1.0,0.9163
89,4,0.9911,0.7621
